year,team,conference,division,expectedWins,total.games,total.wins,total.losses,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties
1975,LSU,SEC,,0,11,4,7,0,6,1,5,0,7,3,4,0,4,1,3,0
1976,LSU,SEC,,0,11,6,5,0,6,2,4,0,6,6,0,0,5,0,5,0
1977,LSU,SEC,,0,12,8,4,0,6,4,2,0,7,5,2,0,4,3,1,0
1978,LSU,SEC,,0,12,8,4,0,6,3,3,0,6,5,1,0,5,3,2,0
1979,LSU,SEC,,0,12,7,5,0,6,4,2,0,7,4,3,0,4,2,2,0
1980,LSU,SEC,,0,11,7,4,0,6,4,2,0,6,5,1,0,5,2,3,0
1981,LSU,SEC,,0,11,4,7,0,6,2,4,0,8,4,4,0,3,0,3,0
1982,LSU,SEC,,0,12,8,4,0,6,4,2,0,6,5,1,0,5,3,2,0
1983,LSU,SEC,,0,11,4,7,0,6,0,6,0,7,2,5,0,4,2,2,0
1984,LSU,SEC,,0,12,9,3,0,6,5,1,0,7,6,1,0,4,3,1,0
1985,LSU,SEC,,0,12,9,3,0,6,4,2,0,5,4,1,0,6,5,1,0
1986,LSU,SEC,,0,12,9,3,0,6,5,1,0,7,5,2,0,4,4,0,0
1987,LSU,SEC,,0,12,10,2,0,6,5,1,0,6,5,1,0,5,4,1,0
1988,LSU,SEC,,0,12,8,4,0,7,6,1,0,6,5,1,0,5,3,2,0
1989,LSU,SEC,,0,11,4,7,0,7,2,5,0,6,2,4,0,5,2,3,0
1990,LSU,SEC,,0,11,5,6,0,7,2,5,0,6,5,1,0,5,0,5,0
1991,LSU,SEC,,0,11,5,6,0,7,3,4,0,6,2,4,0,5,3,2,0
1992,LSU,SEC,West,0,11,2,9,0,8,1,7,0,7,2,5,0,4,0,4,0
1993,LSU,SEC,West,0,11,5,6,0,8,3,5,0,6,3,3,0,5,2,3,0
1994,LSU,SEC,West,0,11,4,7,0,8,3,5,0,6,2,4,0,5,2,3,0
1995,LSU,SEC,West,0,12,8,4,0,8,5,3,0,7,6,1,0,4,1,3,0
1996,LSU,SEC,West,0,12,10,2,0,8,6,2,0,7,6,1,0,4,3,1,0
1997,LSU,SEC,West,0,12,9,3,0,8,6,2,0,7,4,3,0,4,4,0,0
1998,LSU,SEC,West,0,11,4,7,0,8,2,6,0,6,3,3,0,5,1,4,0
1999,LSU,SEC,West,0,11,3,8,0,8,1,7,0,7,3,4,0,4,0,4,0
2000,LSU,SEC,West,0,12,8,4,0,8,5,3,0,7,6,1,0,4,1,3,0
2001,LSU,SEC,West,0,13,10,3,0,9,6,3,0,8,6,2,0,5,4,1,0
2002,LSU,SEC,West,0,13,8,5,0,8,5,3,0,8,6,2,0,5,2,3,0
2003,LSU,SEC,West,0,14,13,1,0,9,8,1,0,8,7,1,0,6,6,0,0
2004,LSU,SEC,West,0,12,9,3,0,8,6,2,0,7,7,0,0,5,2,3,0
2005,LSU,SEC,West,0,13,11,2,0,9,7,2,0,8,6,2,0,5,5,0,0
2006,LSU,SEC,West,0,13,11,2,0,8,6,2,0,9,9,0,0,4,2,2,0
2007,LSU,SEC,West,0,14,12,2,0,9,7,2,0,8,7,1,0,6,5,1,0
2008,LSU,SEC,West,0,13,8,5,0,8,3,5,0,8,5,3,0,4,2,2,0
2009,LSU,SEC,West,0,13,9,4,0,8,5,3,0,7,6,1,0,5,3,2,0
2010,LSU,SEC,West,7.9,13,11,2,0,8,6,2,0,7,7,0,0,4,2,2,0
2011,LSU,SEC,West,9.9,14,13,1,0,10,9,1,0,6,6,0,0,5,5,0,0
2012,LSU,SEC,West,8.8,13,10,3,0,8,6,2,0,8,7,1,0,4,3,1,0
2013,LSU,SEC,West,8.2,13,10,3,0,8,5,3,0,7,7,0,0,4,1,3,0
2014,LSU,SEC,West,8.7,13,8,5,0,8,4,4,0,7,5,2,0,4,2,2,0
2015,LSU,SEC,West,8,12,9,3,0,8,5,3,0,7,6,1,0,4,2,2,0
2016,LSU,SEC,West,9.3,12,8,4,0,8,5,3,0,7,5,2,0,3,2,1,0
2017,LSU,SEC,West,9.3,13,9,4,0,8,6,2,0,6,5,1,0,5,3,2,0
2018,LSU,SEC,West,9.8,13,10,3,0,8,5,3,0,7,6,1,0,4,2,2,0
2019,LSU,SEC,West,14.6,15,15,0,0,9,9,0,0,7,7,0,0,5,5,0,0
2020,LSU,SEC,West,3.1,10,5,5,0,10,5,5,0,5,2,3,0,5,3,2,0
2021,LSU,SEC,West,7.2,13,6,7,0,8,3,5,0,7,5,2,0,5,1,4,0
