year,team,conference,division,expectedWins,total.games,total.wins,total.losses,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties
1954,Auburn,SEC,,0,11,8,3,0,6,3,3,0,7,7,0,0,3,0,3,0
1955,Auburn,SEC,,0,11,8,3,0,8,5,3,0,7,7,0,0,3,1,2,0
1956,Auburn,SEC,,0,10,7,3,0,7,4,3,0,7,6,1,0,3,1,2,0
1957,Auburn,SEC,,0,10,10,0,0,7,7,0,0,6,6,0,0,4,4,0,0
1958,Auburn,SEC,,0,10,10,0,0,7,7,0,0,8,8,0,0,2,2,0,0
1959,Auburn,SEC,,0,10,7,3,0,7,4,3,0,5,5,0,0,5,2,3,0
1960,Auburn,SEC,,0,10,8,2,0,7,5,2,0,7,6,1,0,3,2,1,0
1961,Auburn,SEC,,0,10,6,4,0,7,3,4,0,6,4,2,0,4,2,2,0
1962,Auburn,SEC,,0,10,6,4,0,7,4,3,0,5,4,1,0,5,2,3,0
1963,Auburn,SEC,,0,11,9,2,0,7,6,1,0,5,5,0,0,5,4,1,0
1964,Auburn,SEC,,0,10,6,4,0,6,3,3,0,7,6,1,0,3,0,3,0
1965,Auburn,SEC,,0,11,6,5,0,7,5,2,0,7,5,2,0,3,1,2,0
1966,Auburn,SEC,,0,10,4,6,0,6,1,5,0,6,3,3,0,4,1,3,0
1967,Auburn,SEC,,0,10,6,4,0,6,3,3,0,5,5,0,0,5,1,4,0
1968,Auburn,SEC,,0,11,7,4,0,6,4,2,0,5,2,3,0,5,4,1,0
1969,Auburn,SEC,,0,11,8,3,0,7,5,2,0,6,6,0,0,4,2,2,0
1970,Auburn,SEC,,0,11,9,2,0,8,6,2,0,7,5,2,0,3,3,0,0
1971,Auburn,SEC,,0,11,9,2,0,6,5,1,0,6,6,0,0,4,3,1,0
1972,Auburn,SEC,,0,11,10,1,0,7,6,1,0,6,6,0,0,4,3,1,0
1973,Auburn,SEC,,0,12,6,6,0,7,2,5,0,7,5,2,0,4,1,3,0
1974,Auburn,SEC,,0,12,10,2,0,6,4,2,0,7,7,0,0,4,2,2,0
1975,Auburn,SEC,,0,11,4,7,0,6,1,5,0,4,1,3,0,7,3,4,0
1976,Auburn,SEC,,0,11,3,8,0,6,2,4,0,5,2,3,0,6,1,5,0
1977,Auburn,SEC,,0,11,5,6,0,6,4,2,0,6,3,3,0,5,2,3,0
1978,Auburn,SEC,,0,11,6,5,0,6,3,3,0,4,2,2,0,7,4,3,0
1979,Auburn,SEC,,0,11,8,3,0,6,4,2,0,6,6,0,0,5,2,3,0
1980,Auburn,SEC,,0,11,5,6,0,6,0,6,0,6,4,2,0,5,1,4,0
1981,Auburn,SEC,,0,11,5,6,0,6,2,4,0,6,4,2,0,5,1,4,0
1982,Auburn,SEC,,0,12,9,3,0,6,4,2,0,9,7,2,0,2,1,1,0
1983,Auburn,SEC,,0,12,11,1,0,6,6,0,0,7,6,1,0,4,4,0,0
1984,Auburn,SEC,,0,13,9,4,0,6,4,2,0,5,5,0,0,7,3,4,0
1985,Auburn,SEC,,0,12,8,4,0,6,3,3,0,7,6,1,0,4,2,2,0
1986,Auburn,SEC,,0,12,10,2,0,6,4,2,0,8,7,1,0,3,2,1,0
1987,Auburn,SEC,,0,12,10,2,0,6,6,0,0,8,7,1,0,3,3,0,0
1988,Auburn,SEC,,0,12,10,2,0,7,6,1,0,9,9,0,0,2,1,1,0
1989,Auburn,SEC,,0,12,10,2,0,7,6,1,0,7,7,0,0,4,2,2,0
1990,Auburn,SEC,,0,12,8,4,0,7,4,3,0,6,5,1,0,5,2,3,0
1991,Auburn,SEC,,0,11,5,6,0,7,2,5,0,6,3,3,0,5,2,3,0
1992,Auburn,SEC,West,0,11,5,6,0,8,2,6,0,6,5,1,0,5,0,5,0
1993,Auburn,SEC,West,0,11,11,0,0,8,8,0,0,7,7,0,0,4,4,0,0
1994,Auburn,SEC,West,0,11,9,2,0,8,6,2,0,6,6,0,0,5,3,2,0
1995,Auburn,SEC,West,0,12,8,4,0,8,5,3,0,7,6,1,0,4,2,2,0
1996,Auburn,SEC,West,0,12,8,4,0,8,4,4,0,7,5,2,0,4,2,2,0
1997,Auburn,SEC,West,0,13,10,3,0,9,6,3,0,6,4,2,0,5,5,0,0
1998,Auburn,SEC,West,0,11,3,8,0,8,1,7,0,7,2,5,0,4,1,3,0
1999,Auburn,SEC,West,0,11,5,6,0,8,2,6,0,7,3,4,0,4,2,2,0
2000,Auburn,SEC,West,0,13,9,4,0,9,6,3,0,7,7,0,0,4,2,2,0
2001,Auburn,SEC,West,0,12,7,5,0,8,5,3,0,7,5,2,0,5,2,3,0
2002,Auburn,SEC,West,0,13,9,4,0,8,5,3,0,8,6,2,0,5,3,2,0
2003,Auburn,SEC,West,0,13,8,5,0,8,5,3,0,8,6,2,0,5,2,3,0
2004,Auburn,SEC,West,0,13,13,0,0,9,9,0,0,8,8,0,0,5,5,0,0
2005,Auburn,SEC,West,0,12,9,3,0,8,7,1,0,8,6,2,0,4,3,1,0
2006,Auburn,SEC,West,0,13,11,2,0,8,6,2,0,8,6,2,0,5,5,0,0
2007,Auburn,SEC,West,0,13,9,4,0,8,5,3,0,9,7,2,0,4,2,2,0
2008,Auburn,SEC,West,0,12,5,7,0,8,2,6,0,7,4,3,0,5,1,4,0
2009,Auburn,SEC,West,0,13,8,5,0,8,3,5,0,8,6,2,0,4,1,3,0
2010,Auburn,SEC,West,10.3,14,14,0,0,9,9,0,0,8,8,0,0,4,4,0,0
2011,Auburn,SEC,West,5.6,13,8,5,0,8,4,4,0,7,6,1,0,5,1,4,0
2012,Auburn,SEC,West,4.8,12,3,9,0,8,0,8,0,7,3,4,0,4,0,4,0
2013,Auburn,SEC,West,9,14,12,2,0,9,8,1,0,8,8,0,0,4,3,1,0
2014,Auburn,SEC,West,8.9,13,8,5,0,8,4,4,0,7,6,1,0,5,2,3,0
2015,Auburn,SEC,West,6.9,13,7,6,0,8,2,6,0,7,3,4,0,4,2,2,0
2016,Auburn,SEC,West,7.4,13,8,5,0,8,5,3,0,8,6,2,0,4,2,2,0
2017,Auburn,SEC,West,9.7,14,10,4,0,9,7,2,0,7,7,0,0,5,3,2,0
2018,Auburn,SEC,West,8.6,13,8,5,0,8,3,5,0,7,5,2,0,4,1,3,0
2019,Auburn,SEC,West,9.2,13,9,4,0,8,5,3,0,7,6,1,0,4,2,2,0
2020,Auburn,SEC,West,4.7,11,6,5,0,10,6,4,0,5,4,1,0,5,2,3,0
2021,Auburn,SEC,West,6.3,13,6,7,0,8,3,5,0,7,4,3,0,5,2,3,0
